"","family","location","mean.loc.abund"
"429","f:Un_Bacteroidetes","Philippines",1.32657222278046e-05
"430","f:Un_Bacteroidetes","Tanzania",3.49670980371707e-05
"431","f:Un_Eubacterium","Cancun",0.000718451775527892
"432","f:Un_Eubacterium","Lapaz",0.00181968515068563
"433","f:Un_Eubacterium","Ningaloo",0.000815397528402661
"434","f:Un_Eubacterium","Philippines",0.00145807720972278
"435","f:Un_Eubacterium","Tanzania",0.001312977008441
"436","f:Rhodothermaceae","Cancun",0.000760312801251891
"437","f:Rhodothermaceae","Lapaz",0.000910816005255222
"438","f:Rhodothermaceae","Ningaloo",0.00122938062617848
"439","f:Rhodothermaceae","Philippines",0.000788971704702341
"440","f:Rhodothermaceae","Tanzania",0.000908745573579791
"441","f:Un_Azobacteroides","Cancun",6.19122439036624e-06
"442","f:Un_Azobacteroides","Lapaz",2.09809742058725e-05
